Basis,Line,Product group,,Rate,Yield,Uptime
Net Quantity Produced,E26,Dec. Surfaces/others,0.9,,457952.770337353,
Net Quantity Produced,E26,Dec. Surfaces/others,0.91,,459114.5241089061,
Net Quantity Produced,E26,Dec. Surfaces/others,0.92,,461442.7684044917,
Net Quantity Produced,E26,Dec. Surfaces/others,0.93,,463771.01270007726,
Net Quantity Produced,E26,Dec. Surfaces/others,0.94,,472236.26093215,
Net Quantity Produced,E26,Dec. Surfaces/others,0.95,,480847.6283055679,
Net Quantity Produced,E26,Dec. Surfaces/others,0.96,,483880.138928311,
Net Quantity Produced,E26,Dec. Surfaces/others,0.97,,483923.976291764,
Net Quantity Produced,E26,Dec. Surfaces/others,0.98,,495419.12181851093,
Net Quantity Produced,E26,Dec. Surfaces/others,0.99,,530634.834254938,
Net Quantity Produced,E26,Dec. Surfaces/others,1.0,,565850.5466913647,
Net Quantity Produced,E26,Shrink Sleeve,0.5,,3121577.978000001,
Net Quantity Produced,E26,Shrink Sleeve,0.51,,3128233.1150780045,
Net Quantity Produced,E26,Shrink Sleeve,0.52,,3131478.880030116,
Net Quantity Produced,E26,Shrink Sleeve,0.53,,3138004.7057835087,
Net Quantity Produced,E26,Shrink Sleeve,0.54,,3150296.4969642875,
Net Quantity Produced,E26,Shrink Sleeve,0.55,,3168985.4539949317,
Net Quantity Produced,E26,Shrink Sleeve,0.56,,3184541.380103447,
Net Quantity Produced,E26,Shrink Sleeve,0.57,,3186246.3278053612,
Net Quantity Produced,E26,Shrink Sleeve,0.58,,3195261.881880344,
Net Quantity Produced,E26,Shrink Sleeve,0.59,,3204024.953648085,
Net Quantity Produced,E26,Shrink Sleeve,0.6,,3210829.841672442,
Net Quantity Produced,E26,Shrink Sleeve,0.61,,3222303.453097887,
Net Quantity Produced,E26,Shrink Sleeve,0.62,,3227072.225349963,
Net Quantity Produced,E26,Shrink Sleeve,0.63,,3233868.180449557,
Net Quantity Produced,E26,Shrink Sleeve,0.64,,3238572.086835761,
Net Quantity Produced,E26,Shrink Sleeve,0.65,,3246106.1136344806,
Net Quantity Produced,E26,Shrink Sleeve,0.66,,3258371.8991058976,
Net Quantity Produced,E26,Shrink Sleeve,0.67,,3271876.6437034486,
Net Quantity Produced,E26,Shrink Sleeve,0.68,,3275470.7836196283,
Net Quantity Produced,E26,Shrink Sleeve,0.69,,3277651.2529479982,
Net Quantity Produced,E26,Shrink Sleeve,0.7,,3279312.1779138213,
Net Quantity Produced,E26,Shrink Sleeve,0.71,,3292933.8330439394,
Net Quantity Produced,E26,Shrink Sleeve,0.72,,3300801.363517586,
Net Quantity Produced,E26,Shrink Sleeve,0.73,,3309542.159739479,
Net Quantity Produced,E26,Shrink Sleeve,0.74,,3323811.57985706,
Net Quantity Produced,E26,Shrink Sleeve,0.75,,3328351.514821462,
Net Quantity Produced,E26,Shrink Sleeve,0.76,,3333973.3314212374,
Net Quantity Produced,E26,Shrink Sleeve,0.77,,3343379.4539652388,
Net Quantity Produced,E26,Shrink Sleeve,0.78,,3358513.7259330093,
Net Quantity Produced,E26,Shrink Sleeve,0.79,,3369638.517661691,
Net Quantity Produced,E26,Shrink Sleeve,0.8,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.81,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.82,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.83,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.84,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.85,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.86,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.87,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.88,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.89,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.9,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.91,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.92,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.93,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.94,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.95,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.96,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.97,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.98,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,0.99,,3388789.3540620236,
Net Quantity Produced,E26,Shrink Sleeve,1.0,,3388789.3540620236,
Net Quantity Produced,E26,Dec. Surfaces/others,0.5,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.51,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.52,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.53,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.54,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.55,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.56,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.57,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.58,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.59,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.6,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.61,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.62,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.63,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.64,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.65,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.66,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.67,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.68,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.69,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.7,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.71,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.72,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.73,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.74,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.75,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.76,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.77,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.78,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.79,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.8,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.81,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.82,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.83,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.84,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.85,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.86,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.87,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.88,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.89,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.9,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.91,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.92,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.93,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.94,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.95,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.96,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.97,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.98,,,
Net Quantity Produced,E26,Dec. Surfaces/others,0.99,,,
Net Quantity Produced,E26,Dec. Surfaces/others,1.0,,,
Net Quantity Produced,E26,Shrink Sleeve,0.5,,,
Net Quantity Produced,E26,Shrink Sleeve,0.51,,,
Net Quantity Produced,E26,Shrink Sleeve,0.52,,,
Net Quantity Produced,E26,Shrink Sleeve,0.53,,,
Net Quantity Produced,E26,Shrink Sleeve,0.54,,,
Net Quantity Produced,E26,Shrink Sleeve,0.55,,,
Net Quantity Produced,E26,Shrink Sleeve,0.56,,,
Net Quantity Produced,E26,Shrink Sleeve,0.57,,,
Net Quantity Produced,E26,Shrink Sleeve,0.58,,,
Net Quantity Produced,E26,Shrink Sleeve,0.59,,,
Net Quantity Produced,E26,Shrink Sleeve,0.6,,,
Net Quantity Produced,E26,Shrink Sleeve,0.61,,,
Net Quantity Produced,E26,Shrink Sleeve,0.62,,,
Net Quantity Produced,E26,Shrink Sleeve,0.63,,,
Net Quantity Produced,E26,Shrink Sleeve,0.64,,,
Net Quantity Produced,E26,Shrink Sleeve,0.65,,,
Net Quantity Produced,E26,Shrink Sleeve,0.66,,,
Net Quantity Produced,E26,Shrink Sleeve,0.67,,,
Net Quantity Produced,E26,Shrink Sleeve,0.68,,,
Net Quantity Produced,E26,Shrink Sleeve,0.69,,,
Net Quantity Produced,E26,Shrink Sleeve,0.7,,,
Net Quantity Produced,E26,Shrink Sleeve,0.71,,,
Net Quantity Produced,E26,Shrink Sleeve,0.72,,,
Net Quantity Produced,E26,Shrink Sleeve,0.73,,,
Net Quantity Produced,E26,Shrink Sleeve,0.74,,,
Net Quantity Produced,E26,Shrink Sleeve,0.75,,,
Net Quantity Produced,E26,Shrink Sleeve,0.76,,,
Net Quantity Produced,E26,Shrink Sleeve,0.77,,,
Net Quantity Produced,E26,Shrink Sleeve,0.78,,,
Net Quantity Produced,E26,Shrink Sleeve,0.79,,,
Net Quantity Produced,E26,Shrink Sleeve,0.8,,,
Net Quantity Produced,E26,Shrink Sleeve,0.81,,,
Net Quantity Produced,E26,Shrink Sleeve,0.82,,,
Net Quantity Produced,E26,Shrink Sleeve,0.83,,,
Net Quantity Produced,E26,Shrink Sleeve,0.84,,,
Net Quantity Produced,E26,Shrink Sleeve,0.85,,,
Net Quantity Produced,E26,Shrink Sleeve,0.86,,,
Net Quantity Produced,E26,Shrink Sleeve,0.87,,,
Net Quantity Produced,E26,Shrink Sleeve,0.88,,,
Net Quantity Produced,E26,Shrink Sleeve,0.89,,,
Net Quantity Produced,E26,Shrink Sleeve,0.9,,,
Net Quantity Produced,E26,Shrink Sleeve,0.91,,,
Net Quantity Produced,E26,Shrink Sleeve,0.92,,,
Net Quantity Produced,E26,Shrink Sleeve,0.93,,,
Net Quantity Produced,E26,Shrink Sleeve,0.94,,,
Net Quantity Produced,E26,Shrink Sleeve,0.95,,,
Net Quantity Produced,E26,Shrink Sleeve,0.96,,,
Net Quantity Produced,E26,Shrink Sleeve,0.97,,,
Net Quantity Produced,E26,Shrink Sleeve,0.98,,,
Net Quantity Produced,E26,Shrink Sleeve,0.99,,,
Net Quantity Produced,E26,Shrink Sleeve,1.0,,,
Run Time,E26,Dec. Surfaces/others,0.5,2158.9997222222228,,
Run Time,E26,Dec. Surfaces/others,0.51,2187.5758929598665,,
Run Time,E26,Dec. Surfaces/others,0.52,2199.2564899928066,,
Run Time,E26,Dec. Surfaces/others,0.53,2207.6518365831657,,
Run Time,E26,Dec. Surfaces/others,0.54,2220.0436037233408,,
Run Time,E26,Dec. Surfaces/others,0.55,2236.250135933795,,
Run Time,E26,Dec. Surfaces/others,0.56,2254.427860068752,,
Run Time,E26,Dec. Surfaces/others,0.57,2281.229548873413,,
Run Time,E26,Dec. Surfaces/others,0.58,2308.0312376780757,,
Run Time,E26,Dec. Surfaces/others,0.59,2317.065288733761,,
Run Time,E26,Dec. Surfaces/others,0.6,2323.218101235559,,
Run Time,E26,Dec. Surfaces/others,0.61,2326.7389218078188,,
Run Time,E26,Dec. Surfaces/others,0.62,2327.971053745699,,
Run Time,E26,Dec. Surfaces/others,0.63,2329.5957140109485,,
Run Time,E26,Dec. Surfaces/others,0.64,2332.7032590684853,,
Run Time,E26,Dec. Surfaces/others,0.65,2335.810804126023,,
Run Time,E26,Dec. Surfaces/others,0.66,2351.736986008298,,
Run Time,E26,Dec. Surfaces/others,0.67,2369.3498306306697,,
Run Time,E26,Dec. Surfaces/others,0.68,2394.1230440373497,,
Run Time,E26,Dec. Surfaces/others,0.69,2424.5648827316063,,
Run Time,E26,Dec. Surfaces/others,0.7,2459.6825254334312,,
Run Time,E26,Dec. Surfaces/others,0.71,2510.230321360229,,
Run Time,E26,Dec. Surfaces/others,0.72,2560.7781172870277,,
Run Time,E26,Dec. Surfaces/others,0.73,2569.312844512727,,
Run Time,E26,Dec. Surfaces/others,0.74,2573.5385390511333,,
Run Time,E26,Dec. Surfaces/others,0.75,2582.2850541541416,,
Run Time,E26,Dec. Surfaces/others,0.76,2594.2865600636624,,
Run Time,E26,Dec. Surfaces/others,0.77,2606.5220430419963,,
Run Time,E26,Dec. Surfaces/others,0.78,2619.4381865841515,,
Run Time,E26,Dec. Surfaces/others,0.79,2632.3543301263057,,
Run Time,E26,Dec. Surfaces/others,0.8,2637.3459424842363,,
Run Time,E26,Dec. Surfaces/others,0.81,2641.7432150033496,,
Run Time,E26,Dec. Surfaces/others,0.82,2677.775625899271,,
Run Time,E26,Dec. Surfaces/others,0.83,2734.4925503492577,,
Run Time,E26,Dec. Surfaces/others,0.84,2812.550917219712,,
Run Time,E26,Dec. Surfaces/others,0.85,2945.741343676374,,
Run Time,E26,Dec. Surfaces/others,0.86,3078.931770133036,,
Run Time,E26,Dec. Surfaces/others,0.87,3230.786912148555,,
Run Time,E26,Dec. Surfaces/others,0.88,3383.552528093778,,
Run Time,E26,Dec. Surfaces/others,0.89,3565.1828461672285,,
Run Time,E26,Dec. Surfaces/others,0.9,3763.91817290926,,
Run Time,E26,Dec. Surfaces/others,0.91,4024.4325795706627,,
Run Time,E26,Dec. Surfaces/others,0.92,4427.5140937383085,,
Run Time,E26,Dec. Surfaces/others,0.93,4830.595607905952,,
Run Time,E26,Dec. Surfaces/others,0.94,6433.097980040226,,
Run Time,E26,Dec. Surfaces/others,0.95,8064.157991649944,,
Run Time,E26,Dec. Surfaces/others,0.96,8914.450310097578,,
Run Time,E26,Dec. Surfaces/others,0.97,9346.474221494116,,
Run Time,E26,Dec. Surfaces/others,0.98,9757.360113805104,,
Run Time,E26,Dec. Surfaces/others,0.99,10124.460109438884,,
Run Time,E26,Dec. Surfaces/others,1.0,10491.56010507267,,
Run Time,E26,Shrink Sleeve,0.5,4885.885833333334,,
Run Time,E26,Shrink Sleeve,0.51,4909.898581015182,,
Run Time,E26,Shrink Sleeve,0.52,4926.3868931426505,,
Run Time,E26,Shrink Sleeve,0.53,4943.033464946609,,
Run Time,E26,Shrink Sleeve,0.54,4980.517938312992,,
Run Time,E26,Shrink Sleeve,0.55,5017.280384598346,,
Run Time,E26,Shrink Sleeve,0.56,5025.505724073537,,
Run Time,E26,Shrink Sleeve,0.57,5043.197438648314,,
Run Time,E26,Shrink Sleeve,0.58,5073.981873399128,,
Run Time,E26,Shrink Sleeve,0.59,5110.258658325987,,
Run Time,E26,Shrink Sleeve,0.6,5132.030946220509,,
Run Time,E26,Shrink Sleeve,0.61,5152.293361388249,,
Run Time,E26,Shrink Sleeve,0.62,5158.993742163089,,
Run Time,E26,Shrink Sleeve,0.63,5167.674479400344,,
Run Time,E26,Shrink Sleeve,0.64,5172.495414162879,,
Run Time,E26,Shrink Sleeve,0.65,5180.080454947092,,
Run Time,E26,Shrink Sleeve,0.66,5200.199157427244,,
Run Time,E26,Shrink Sleeve,0.67,5214.330739171779,,
Run Time,E26,Shrink Sleeve,0.68,5228.691340978741,,
Run Time,E26,Shrink Sleeve,0.69,5241.605006349942,,
Run Time,E26,Shrink Sleeve,0.7,5288.990702525283,,
Run Time,E26,Shrink Sleeve,0.71,5327.480773372425,,
Run Time,E26,Shrink Sleeve,0.72,5350.390549035428,,
Run Time,E26,Shrink Sleeve,0.73,5373.179994867415,,
Run Time,E26,Shrink Sleeve,0.74,5397.714746823449,,
Run Time,E26,Shrink Sleeve,0.75,5431.066272423504,,
Run Time,E26,Shrink Sleeve,0.76,5489.480467187631,,
Run Time,E26,Shrink Sleeve,0.77,5502.129583281821,,
Run Time,E26,Shrink Sleeve,0.78,5522.945933667991,,
Run Time,E26,Shrink Sleeve,0.79,5551.020138501934,,
Run Time,E26,Shrink Sleeve,0.8,5561.0211268289895,,
Run Time,E26,Shrink Sleeve,0.81,5570.214877586762,,
Run Time,E26,Shrink Sleeve,0.82,5593.054771047892,,
Run Time,E26,Shrink Sleeve,0.83,5637.461364571004,,
Run Time,E26,Shrink Sleeve,0.84,5688.8923466017895,,
Run Time,E26,Shrink Sleeve,0.85,5702.5806398394325,,
Run Time,E26,Shrink Sleeve,0.86,5759.0612476192955,,
Run Time,E26,Shrink Sleeve,0.87,5830.648394294936,,
